Total Water (in)
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.007
0.000
0.006
0.000
0.000
0.000
0.064
0.159
0.010
0.000
0.000
0.000
0.000
0.000
0.001
0.000
0.000
0.000
0.000
0.001
0.001
0.000
0.000
0.000
0.002
0.051
0.644
0.044
0.109
0.058
0.024
0.188
0.737
0.178
0.009
0.221
0.043
0.001
0.000
0.000
0.000
0.001
0.009
0.000
0.000
0.000
0.000
0.000
0.005
0.001
0.187
0.034
0.011
0.150
0.229
0.006
0.001
0.012
0.008
0.013
0.003
0.000
0.008
0.003
0.050
0.327
0.087
0.005
0.006
0.000
0.000
0.005
0.001
0.218
0.275
0.002
0.000
0.162
0.096
0.004
0.001
0.001
0.000
0.008
0.059
0.084
0.085
0.046
0.139
0.193
0.110
0.152
0.010
0.045
0.005
0.217
0.845
0.323
0.172
0.045
0.300
0.641
0.301
0.108
0.159
0.166
0.044
0.001
0.001
0.020
0.113
0.965
0.275
0.701
0.481
0.319
0.047
0.315
0.242
0.282
0.306
0.045
0.332
0.173
0.141
0.438
0.191
0.057
0.017
0.004
0.001
0.000
0.003
0.001
0.000
0.001
0.003
0.505
0.443
0.029
0.002
0.003
0.012
0.092
0.664
0.186
0.285
0.221
1.530
0.037
0.235
0.072
0.348
0.399
0.260
0.114
1.162
0.248
0.436
0.175
0.183
0.052
0.071
0.027
0.208
0.382
0.339
0.046
0.004
0.068
0.003
0.228
0.099
0.015
0.020
0.002
0.001
0.005
0.063
0.004
0.002
0.001
0.001
0.000
0.000
0.006
0.001
0.000
0.000
0.001
0.002
0.010
0.477
0.377
0.089
0.112
0.104
0.062
0.338
0.032
0.061
0.074
0.012
0.001
0.000
0.001
0.031
0.032
0.218
0.308
0.119
0.240
0.053
0.028
0.353
0.835
0.368
0.816
0.127
0.003
0.000
0.000
0.001
0.041
0.049
0.216
0.002
0.001
0.016
0.061
0.455
0.013
0.147
0.448
0.103
0.288
0.409
0.085
0.190
0.023
0.161
0.368
0.211
0.245
0.352
0.078
0.036
0.458
0.274
0.143
0.014
0.099
0.092
0.222
0.063
0.002
0.002
0.099
0.557
0.512
0.330
0.034
0.209
0.069
0.010
0.000
0.000
0.000
0.000
0.000
0.016
0.049
0.237
0.019
0.000
0.000
0.000
0.000
0.000
0.006
0.182
0.022
0.001
0.000
0.070
0.024
0.002
0.000
0.003
0.008
0.000
0.000
0.010
0.067
0.011
0.020
0.032
0.150
0.239
0.487
0.167
0.081
0.299
0.021
0.001
0.000
0.000
0.055
0.005
0.000
0.075
0.049
0.008
0.073
0.003
0.000
0.001
0.001
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.000
0.000
0.000
0.014
0.013
0.010
0.238
0.107
0.002
0.000
0.000
0.005
0.094
0.019
0.002
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.011
0.001
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.006
0.004
0.000
0.000
0.000
0.000
0.000
0.001
0.000
0.000
